순번,표제어,대분류,영문,설명,출처,출처1,중분류
16234,폐기 수량,기타,Quantity Condemned,군에서 보유 및 운용 중인 무기 체계나 장비가 군사 목적상 더 이상 필요하지 않거나 장비 대체가 가능하고 정비 유지 면에서 경제성이 없는 경우 처분하는 폐기품의 수량. ☜ QC(Quantity Condemned),국방과학기술용어,국방과학기술용어사전,기타
16235,폐기 항공기,기타,Abandoned Aircraft,사용 수명을 다하여 더 이상 항공기로서의 가치가 없는 항공기.,국방과학기술용어,국방과학기술용어사전,기타
16236,폐기물,행정공통,,"쓰레기, 연소재, 오니, 폐유, 폐산, 폐알칼리 및 동물의 사체 등으로서 사람의 생활이나 사업 활동에 필요하지 아니하게 된 물질을 말한다.",과학기술용어사전+국방부군수전력용어사전+KIMA,,운영유지
16237,폐기물 처리비,사업/계약관리,,"계약목적물의 제조와 관련하여 발생되는 오물, 잔재물, 폐유, 폐알칼리, 폐고무, 폐합성수지등 공해유발물질을 법령에 의거 처리하기 위하여 소요되는 비용을 말한다.",방위사업청,예정가격작성기준(기획재정부)/국방조달 계약관련 법령집,원가관리
16238,폐기율,기타,Mortality Rate,"폐기율은 군수 계통에서 주로 사용되는 용어로서 완성 장비, 결합체, 구성품을 재생하는 과정에서 사용될 보충 부속품의 소요 예측에 적용하기 위하여 설정된 부속품의 손실률을 말한다. 장비, 결합체, 구성품을 조성하고 있는 각 부속품의 총 수량에 대한 폐기될 각 부속품 수량이 차지하고 있는 비율로서 백분율(%)로 표시한다. 폐기율을 산정하기 위해 기본 폐기율, 분해 폐기율, 조립 폐기율의 개념을 사용한다. ☜ M/R(Mortality Rate)",국방과학기술용어,국방과학기술용어사전,기타
16239,폐로,기타,,☞ 원전 폐로(原電廢爐),국방과학기술용어,국방과학기술용어사전,기타
16240,폐쇄 지역,기타,Closed Area,내부와 그 상공에 있어 여하한 통행도 금지하는 지정된 지역.,국방과학기술용어,국방과학기술용어사전,기타
16241,폐쇄 활주로,기타,Close Runway,"항공기 이착륙에 사용되지 않는 활주로. 공항 관리 사무소 또는 군 운용 사무소만이 활주로를 폐쇄할 수 있으며, 활주로 끝단에 'X'로 표시한다.",국방과학기술용어,국방과학기술용어사전,기타
16242,폐쇄기,기타,Breech Block,포신 후면의 탄약 삽입 및 사격 시 발생하는 고온 고압의 가스를 밀폐하기 위한 장치.,국방과학기술용어,국방과학기술용어사전,기타
16243,폐쇄식 잠수기,기타,Closed Circuit SCUBA,잠수 시 호흡한 기체가 잠수기 자체 정화를 통해 순환되어 재호흡되도록 설계된 잠수기구. 호흡기체는 순수 산소를 사용한다.,국방과학기술용어,국방과학기술용어사전,기타
16244,폐수,기타,Wastewater,물에 액체성 또는 고체성의 수질 오염 물질이 혼입되어 그대로 사용할 수 없는 물을 말한다. 오수라고도 함.,국방과학기술용어,국방과학기술용어사전,기타
16245,폐위 마스트,기타,Advanced Enclosed Mast Sensor,복잡한 형상의 센서들을 마스트 내부에 탑재함으로써 함정 피탐율 감소 및 외부환경 노출 차단으로 인한 센서 수명 연장을 위한 마스트.,국방과학기술용어,국방과학기술용어사전,기타
16246,폐창식 재물 조사,행정공통,Closed Inventory Method,"저장되어 있는 전 재고품에 대하여 일체의 수불 행위를 중단하고 특정 날짜 기준으로 조사하는 방법이다. 이 조사 방법은 정확성이 있는 반면, 수불 업무에 지속성이 없으므로 예비 목적으로 저장된 재고품에 적용하는 것이 유리한 방법이다. ☞ CIM(Closed Inventory Method)",과학기술용어사전,,운영유지
16247,폐처리,행정공통,Disposal / Wash Out,폐품 검정 및 폐 장비 검정 결과 경제적 수리 한계가 초과되고 정비 및 재생 작업을 할 가치가 없는 품목으로서 재생 과정에서 발생하는 장비 및 부속품 결합체에 대하여 군 보유 자산에서 삭제하는 과정을 말한다. 이 때 필요한 수리부속품의 동류 전용 또는 일부 비군사화 작업이 이루어진다. 폐 처리에는 재산 처리가 포함되지 않는다.,과학기술용어사전+국방부군수전력용어사전,,운영유지
16248,폐품,기타,Condemned / Salvage,원래의 용도에 사용하기 위해서는 그 품목의 취득 원가의 65% 이상 수리비가 요구되는 물자. 품목의 기본 구성 물질 이상의 가치 또는 형태를 가지고 있으나 그 자체로는 단위 물자로서 전혀 기능을 수행할 수 없고 경제적 수리 한계(ERL)를 초과한 물자로서 원래의 목적에 사용할 수 없는 물자를 말한다. ☜ COND(Condemned),국방과학기술용어,국방과학기술용어사전,기타
16249,폐회로,기타,Closed Circuit,"전기 회로에서, 전류가 계속 흐르고 있는 회로, 또는 개회로에 대조되어 입력에서 출력까지의 신호전달경로에서 출력에서 입력으로의 Feedback 경로가 있는 신호회로.",국방과학기술용어,국방과학기술용어사전,기타
16250,폐회로 디젤 엔진,기타,,CCDE 잠수함 폐회로 추진(AIP)의 일종으로 일반 디젤 엔진을 이용하여 공기의 순환을 폐회로로 이용하고 거기에 필요한 산소는 함정에 적재하여 계속 폐회로에 공급하는 디젤 엔진. ☜ CCD(Ccde),국방과학기술용어,국방과학기술용어사전,기타
16251,포,기타,,☞ 화포(火砲),국방과학기술용어,국방과학기술용어사전,기타
16252,포 및 포탑 구동 장치 기술,기타,Gun And Turret Function Unit Technology,"차량 정지 및 기동 시 사격이 가능하도록 무기의 주포 및 포탑의 구동 및 안정화와 관련된 기술. 하부 기술로 에너지 저장기 기술, 직류 전압 승압기 기술, 고저 및 선회 장치 기술, 전력 증폭기 기술, 구동 및 전력 제어기 기술 등이 있다.",국방과학기술용어,국방과학기술용어사전,기타
16253,포 발사 유도 포탄,기타,,☞ 포 발사식 유도 포탄(砲發射式誘導砲彈),국방과학기술용어,국방과학기술용어사전,기타
16254,포 발사식 대전차 지뢰,기타,Area Denial Artillery Munition / Remote Anti Armor Mine,155㎜ 곡사포에 의해 대전차 지뢰가 내장된 살포탄을 목표 지점에 발사하여 대전차 지뢰 지대를 설치하는 체계. ☜ RAAM(Area Denial Artillery Munition / Remote Anti-armor Mine),국방과학기술용어,국방과학기술용어사전,기타
16255,포 발사식 살포 지뢰,기타,Area Denial Artillery Munition,탄속에 36개의 대인 지뢰를 내장하고 목표 상공에서 원형 모양으로 방출시키는 155mm 대인용 지뢰 포탄. 각지뢰는 발사시의 후퇴력과 스핀에 의해 안전 장치가 해제된다. 착지 후 일정 시간이 경과하면 작동 상태에 들어가 트랩선이나 지뢰 본체에 외력이 가해지면 파편탄이 수직으로 튀어올라 지상 1~3m높이에서 폭발한다. 약 600개의 파편이 둘레에 비산해서 인원을 살상한다. 만일 규정 시간 내에 지뢰가 작동하지 않으면 지뢰는 자폭하게 되어있다. ☜ ADAM(Area Denial Artillery Munition),국방과학기술용어,국방과학기술용어사전,기타
16256,포 발사식 유도 포탄,기타,Cannon-Launched Guided Projectile,"정지 또는 이동 중인 적 전차, 견고한 점표적 등을 파괴할 수 있는 레이저 유도 방식의 포탄. 사격 후 포탄이 표적 상공에 도달 시 관측반이 레이저 조사기를 이용하여 표적을 지시하고, 포탄은 표적에서 반사되는 레이저를 추적하여 표적까지 유도되는 고도의 첨단 정밀 탄약이다. 대표적으로 미군에서 운용하는 Copper-Head탄이 있다.☜ CLGP(Cannon-launched Guided Projectile ), 포 발사 유도 포탄(砲發射誘導砲彈)",국방과학기술용어,국방과학기술용어사전,기타
16257,포 분포도,기타,Battery Sketch,"각 화포가 포대 중앙으로부터 방열 방위각을 기준으로 전후, 좌우로 배치된 거리와 간격을 5m 단위로 나타낸 그림. ☜ BS(Battery Sketch)",국방과학기술용어,국방과학기술용어사전,기타
16258,포 사격장,기타,Gunnery Range,포사격을 할 수 있도록 시설을 갖춘 특정의 장소. ☜ GR(Gunnery Range),국방과학기술용어,국방과학기술용어사전,기타
16259,포가,기타,Gun Mount,포신 및 관련 사격 통제 기재 등을 장착하기 위한 화포 구조물.,국방과학기술용어,국방과학기술용어사전,기타
16260,포고문,기타,Proclamation,"지역의 주민들에게 공포하는 문서. 특정 지역 내에서 지휘관 권한의 근거와 활동 범위를 규정 설명하는 것이며, 또한 그러한 포고의 적응을 받는 일반 시민들의 의무, 부담, 책임 및 권리 등도 겸하여 명시.",국방과학기술용어,국방과학기술용어사전,기타
16261,포괄적 기관 경향 분석 및 고장 탐구 체계,기타,Comprehensive Engine Trending & Diagnostics System,"항공기 엔진의 성능 저하, 비정상적인 작동 상태를 판단하여 필요한 정비 행위 진단 및 계획 수립에 사용되는 컴퓨터 프로그램. 예상 가능한 결함 분석을 통해 사고 예방을 위한 엔진 교환 및 재작업 비용을 감소시키고 안전한 기관 관리를 가능하게 한다. ☜ CETADS(Comprehensive Engine Trending & Diagnostics System)",국방과학기술용어,국방과학기술용어사전,기타
16262,포괄적 탐지 기법,기타,Generic Detection Technique,유사한 형태의 악성 코드 집합을 탐지하기 위해 해당 집합을 이루는 악성 코드 파일들의 공통된 코드 영역(Code Section)을 진단하도록 하는 악성 코드 탐지 기법.,국방과학기술용어,국방과학기술용어사전,기타
16263,포괄적 핵실험 금지 조약,기타,Comprehensive Nuclear Test Ban Treaty,모든 장소에서 어떠한 형태의 핵실험도 금지하는 1996년에 UN총회에서 체결된 조약. 한국은 1996년에 가입하였다. ☜ CTBT,국방과학기술용어,국방과학기술용어사전,기타
16264,포구 속도,기타,Muzzle Velocity,포탄이 포구를 떠나는 순간의 속도. 단위는 초당 미터(m/s)로 표시한다. ☜ MV(Muzzle Velocity),국방과학기술용어,국방과학기술용어사전,기타
16265,포구 속도 측정 레이더,기타,Muzzle Velocity Radar,포탄이 포구를 떠나는 순간의 속도를 측정하는 레이더. ☜ MVR(Muzzle Velocity Radar),국방과학기술용어,국방과학기술용어사전,기타
16266,포구 속도 측정 제어 기술,기타,,통신 제어기 및 포구속도 측정기 인터페이스를 통해 사격 시 실시간으로 포구 속도를 획득하는 기술.,국방과학기술용어,국방과학기술용어사전,기타
16267,포구 수정,기타,Calibration,화포의 포구 초속을 측정하여 해당 포의 포구 속도와 기준으로 설정된 화포의 포구 속도를 비교하는 것.,국방과학기술용어,국방과학기술용어사전,기타
16268,포구 제퇴기,기타,Muzzle Brake,포구 끝에 장착되어 포강 내부에서 팽창하여 포구 바깥으로 나오는 추진 가스의 일부를 제퇴기 벽면에서 편향시켜 주퇴력의 일부를 줄여줌으로써 사격 충격력을 저감시키는 장치.,국방과학기술용어,국방과학기술용어사전,기타
16269,포구 폭발,기타,Muzzle Burst,포탄이 포구를 떠나자마자 폭발하는 것. 또는 화기로부터 매우 근거리에서 폭발하는 것. ☜ MB(Muzzle Burst),국방과학기술용어,국방과학기술용어사전,기타
16270,포구 폭풍,기타,Muzzle Blast,"탄자가 포구를 떠나면서 강한 충격파가 공기 제트의 후측면에 먼저 발생하고, 곧 이어 추진 가스가 공기 제트의 전단(Mach Disk)를 뚫고 지나가면서 발생하는 충격파. ☜ MB(Muzzle Blast)",국방과학기술용어,국방과학기술용어사전,기타
16271,포대,기타,Battery,"동일 함정에 장치되어 있거나 또는 동일체로서 운용되는 모든 포, 어뢰 발사관, 탐조등 또는 미사일 발사 장치.",국방과학기술용어,국방과학기술용어사전,기타
